"circuito" "MESA"
"448" "012A" 446
"449" "012A" 447
"450" "012A" 448
"451" "012A" 449
"452" "012A" 450
"453" "012A" 451
"454" "012A" 452
"455" "0013" 453
"456" "0013" 454
"457" "0013" 455
"458" "0013" 456
"459" "0013" 457
"460" "0013" 458
"461" "0013" 459
"462" "0013" 460
"463" "0013" 461
"464" "0013" 462
"465" "0013" 463
"466" "0013" 464
"467" "0013" 465
"468" "0013" 466
"469" "0013" 467
"470" "0013" 468
"471" "0013" 469
"472" "0013" 470
"473" "0013" 471
"474" "0013" 472
"475" "0013" 473
"476" "0013" 474
"477" "0013" 475
"478" "0013" 476
"479" "0013" 477
"480" "0013" 478
"481" "0013" 479
"482" "0013" 480
"483" "0013" 481
"484" "0013" 482
"485" "0013" 483
"486" "0013" 484
"487" "013A" 485
"488" "013A" 486
"489" "013A" 487
"490" "013A" 488
"491" "013A" 489
"492" "013A" 490
"493" "013A" 491
"494" "013A" 492
"495" "013A" 493
"496" "013A" 494
"497" "013A" 495
"498" "013A" 496
"499" "013A" 497
"500" "0014" 498
"501" "0014" 499
"502" "0014" 500
"503" "0014" 501
"504" "0014" 502
"505" "0014" 503
"506" "0014" 504
"507" "0014" 505
"508" "0014" 506
"509" "0014" 507
"510" "0014" 508
"511" "0014" 509
"512" "0014" 510
"513" "0014" 511
"514" "0014" 512
"515" "0014" 513
"516" "0014" 514
"517" "0014" 515
"518" "0014" 516
"519" "0014" 517
"520" "0014" 518
"521" "0014" 519
"522" "0014" 520
"523" "0014" 521
"524" "0014" 522
"525" "0014" 523
"526" "0014" 524
"527" "0014" 525
"528" "0014" 526
"529" "0014" 527
"530" "0014" 528
"531" "0014" 529
"532" "0014" 530
"533" "0014" 531
"534" "0014" 532
"535" "0014" 533
"536" "0014" 534
"537" "0014" 535
"538" "0014" 536
"539" "0014" 537
"540" "0014" 538
"541" "0014" 539
"542" "0014" 540
"543" "0014" 541
"544" "0014" 542
"545" "0014" 543
"546" "0014" 544
"547" "0014" 545
"548" "0014" 546
"549" "0014" 547
"550" "0014" 548
"551" "0014" 549
"552" "0014" 550
"553" "0014" 551
"554" "014A" 552
"555" "014A" 553
"556" "014A" 554
"557" "014A" 555
"558" "014A" 556
"559" "014A" 557
"560" "014A" 558
"561" "014A" 559
"562" "014B" 560
"563" "014B" 561
"564" "014B" 562
"565" "014B" 563
"566" "014B" 564
"567" "014B" 565
"568" "014B" 566
"569" "014B" 567
"570" "014B" 568
"571" "014C" 569
"572" "014C" 570
"573" "014C" 571
"574" "014C" 572
"575" "014C" 573
"576" "014C" 574
"577" "014C" 575
"578" "014C" 576
"579" "014C" 577
"580" "014C" 578
"581" "014C" 579
"582" "014C" 580
"583" "014C" 581
"584" "014C" 582
"585" "014C" 583
"586" "014C" 584
"587" "014C" 585
"588" "014D" 586
"589" "014D" 587
"590" "014D" 588
"591" "014D" 589
"592" "014D" 590
"593" "014D" 591
"594" "014D" 592
"595" "014D" 593
"596" "014D" 594
"597" "014D" 595
"598" "014D" 596
"599" "014D" 597
"600" "014D" 598
"601" "0015" 599
"602" "0015" 600
"603" "0015" 601
"604" "0015" 602
"605" "0015" 603
"606" "0015" 604
"607" "0015" 605
"608" "0015" 606
"609" "0015" 607
"610" "0015" 608
"611" "0015" 609
"612" "0015" 610
"613" "0015" 611
"614" "0015" 612
"615" "0015" 613
"616" "0015" 614
"617" "0015" 615
"618" "0015" 616
"619" "0015" 617
"620" "0015" 618
"621" "0015" 619
"622" "0015" 620
"623" "0015" 621
"624" "0015" 622
"625" "0015" 623
"626" "0015" 624
"627" "0015" 625
"628" "0015" 626
"629" "0015" 627
"630" "0015" 628
"631" "0015" 631
"632" "0015" 632
"633" "0015" 633
"634" "0015" 634
"635" "0015" 635
